"","year","plot","Pgrass","Agrass","prgl","Sshrub","forb","litter","bare","sd","total","rare","t2009","t2010","t2011","t2012","t2013","t2014","t2015","t2016","t2017","t2018","ppt2009","ppt2010","ppt2011","ppt2012","ppt2013","ppt2014","ppt2015","ppt2016","ppt2017","ppt2018","meanPPT","pptsd","pptCV","ppt","treat","treat_ppt","total_WUE","Pgrass_WUE","prgl_WUE","gr_sh"
"155",2012,39,79.2792,0,5.37292,0,2.90724,0.005,0.025,0.48,87.55936,2.90724,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,65.6,"ambient",65.6,1.33474634146341,1.2085243902439,0.0819042682926829,0.0613631712246412
"157",2012,20,47.56752,0,18.82244,0,0,0.027,0.133,0.36,66.38996,0,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,65.6,"ambient",65.6,1.01204207317073,0.725114634146342,0.28692743902439,0.283513350512638
"158",2012,25,36.51648,0,13.67416,0,0,0.024,0.05,0.521,50.19064,0,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,65.6,"ambient",65.6,0.765101219512195,0.556653658536585,0.20844756097561,0.272444423900552
"171",2012,42,114.35424,0,9.40008,0,0,0.011,0.032,0.359,123.75432,0,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,65.6,"ambient",65.6,1.88649878048781,1.74320487804878,0.143293902439024,0.0759575908137995
"174",2012,46,90.33024,0,29.82528,0,0,0,0.033,0.245,120.15552,0,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,65.6,"ambient",65.6,1.83163902439024,1.37698536585366,0.454653658536585,0.248222303894153
"185",2012,40,81.6816,0,2.06016,0,0,0.025,0.028,0.449,83.74176,0,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,65.6,"ambient",65.6,1.2765512195122,1.24514634146341,0.0314048780487805,0.0246013458518187
"186",2012,44,73.03296,0,5.70316,0,0,0,0.087,0.419,78.73612,0,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,65.6,"ambient",65.6,1.20024573170732,1.11330731707317,0.0869384146341464,0.0724338461178936
"189",2012,21,119.63952,0,14.77936,0,1.3844,0.002,0.205,0.204,135.80328,1.3844,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,65.6,"ambient",65.6,2.07017195121951,1.82377317073171,0.22529512195122,0.108829182918115
"192",2012,36,32.67264,0,23.00412,0,0,0,0.083,0.272,55.67676,0,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,65.6,"ambient",65.6,0.848731097560976,0.498058536585366,0.35067256097561,0.413172749276359
"203",2013,46,96.57648,12.1714,20.86252,0,72.681,0.018,0,0.103,202.2914,84.8524,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,210.5,"ambient",210.5,0.961004275534442,0.458795629453682,0.0991093586698337,0.103131027814331
